word,frequency
đang,15213
bóng,9598
tennis,7650
người,7141
trên,6849
một,6531
sân,5900
bóng_chày,4257
cầu_thủ,4041
vợt,3723
ở,3708
đàn_ông,3701
đánh,3432
vận_động_viên,3172
cầm,3069
để,2659
chơi,2531
quả,1887
thi_đấu,1775
phụ_nữ,1739
áo,1693
đứng,1681
nam,1647
chuẩn_bị,1620
gậy,1585
ném,1494
và,1375
những,1361
nữ,1360
vung,1346
bé,1345
hai,1337
đánh_quả,1291
trẻ,1279
bóng_đá,1186
lên,1144
đứa,1140
của,1101
trong,1098
cậu,1008
đỡ,940
các,883
trận,856
trắng,719
với,713
trước,685
ra,634
phía,580
cao,567
theo_dõi,537
hình_ảnh,535
bắt,527
nhảy,522
về,505
ngoài,479
xoay,472
luyện_tập,468
tay,454
diễn,436
sân_cỏ,426
con,422
dùng,412
cô,403
cùng,397
trả,390
cái,386
khán_giả,384
giơ,384
nhau,383
cạnh,380
xanh,377
cú,368
quan_sát,356
phát_bóng,342
chạy,335
găng_tay,333
đưa,297
đá,283
đội,272
đỏ,271
mặc,268
đen,267
sau,248
tới,243
vào,236
nhóm,228
ngồi,228
thực_hiện,223
chân,218
một_số,212
chó,208
bước,206
bằng,204
trọng_tài,197
động_tác,192
dưới,192
giao_bóng,192
đấu,190
khi,187
đeo,186
tranh_chấp,185
gôn,170
bóng_rổ,164
nghiêng,161
màu,153
gái,149
biển,145
trời,145
ngoài_trời,141
đông_đảo,141
bãi,138
đất,138
sút,134
vừa,134
khác,132
sân_nhà,131
tranh,127
nắng,126
chụp,126
bay,126
tư_thế,122
biên,122
nhà,121
vườn,120
đặt,119
thấp,118
lưới,117
vươn,117
thủ_môn,116
nằm,112
được,111
bước_đi,108
nhìn,104
theo,103
ba,102
phải,101
khung_thành,101
công_viên,101
vàng,98
bên,92
dương,89
sẵn_sàng,88
nện,86
bóng_bầu_dục,83
trái,83
tung,83
đối_thủ,82
cam,81
nhiều,81
cây,79
ban_ngày,79
xuống,78
ôm,75
ghế,75
thanh_niên,74
ảnh,73
đồ,72
có,71
mình,71
voi,69
tạo_dáng,67
đón,66
xám,66
cát,66
đông,64
trắng_đen,64
cho,63
banh,63
đôi,62
đường_bay,62
đám,62
chuyển_động,61
qua,59
tấm,59
