word,frequency
đang,16637
bóng,10079
một,7936
người,7541
trên,7495
tennis,7488
sân,6203
vận_động_viên,4560
cầu_thủ,4455
bóng_chày,4291
ở,3844
đàn_ông,3751
đánh,3622
vợt,3619
cầm,3023
để,2821
chơi,2627
trong,2494
và,2259
chuẩn_bị,2176
những,2130
quả,2032
của,1903
thi_đấu,1858
áo,1836
đứng,1726
phụ_nữ,1697
ném,1660
nam,1656
gậy,1625
hai,1583
với,1496
lên,1409
bé,1392
trận,1364
vung,1354
nữ,1352
các,1341
trẻ,1305
đánh_quả,1282
cú,1247
bóng_đá,1245
đứa,1118
cậu,1027
đỡ,937
đấu,887
ra,877
trước,875
cô,849
đầy,796
cho,781
phía,758
trắng,758
sự,751
cao,746
tay,674
về,670
nhảy,656
hình_ảnh,653
khi,630
xanh,596
thể_hiện,590
khán_giả,590
theo_dõi,570
vào,553
bắt,549
diễn,547
này,541
sân_cỏ,524
xoay,510
luyện_tập,506
cùng,502
ngoài,499
con,481
mạnh_mẽ,468
ánh,457
giữa,449
nhau,446
đội,435
quyết_tâm,429
cái,415
dùng,412
giơ,410
từng,404
trả,400
cạnh,400
thực_hiện,399
sức_mạnh,396
chạy,389
phát_bóng,385
kịch_tính,381
tạo,379
khoảnh_khắc,376
quan_sát,374
động_tác,368
dưới,352
nước,349
đá,339
tới,337
bước,335
ấy,334
găng_tay,332
sẵn_sàng,331
đưa,328
gái,326
đen,318
căng_thẳng,314
không_khí,314
đỏ,311
nên,301
sau,298
qua,291
chân,291
nhìn,287
cuộc,279
mặc,277
bay,268
tập_trung,263
từ,262
đẹp,260
đối_thủ,255
môn,253
nhóm,253
không,251
quyết_định,251
mọi,249
chèo,248
tranh,239
tuyệt_vời,238
nắng,237
hồi_hộp,236
mắt,236
bằng,234
thể_thao,234
chiếc,233
giao_bóng,226
trọng_tài,226
thuyền,224
anh,219
ngồi,217
chó,216
mình,212
tranh_chấp,212
được,211
một_số,206
tuyệt,205
chiến_thắng,202
là,202
như,201
vừa,197
màu,191
đua,191
sút,184
gôn,182
biển,181
nghiêng,178
bóng_rổ,177
hoàn_hảo,177
đeo,175
bên,174
trời,171
pha,171
chinh_phục,167
sáng,166
rực_rỡ,165
kỹ_thuật,165
không_gian,164
đường,163
bắn,160
mang,159
nhà,159
xuống,159
đến,157
khung_cảnh,157
tư_thế,156
tinh_thần,154
đều,152
tung,151
khung_thành,151
ngoài_trời,151
thật,150
tự_tin,150
thử_thách,148
vàng,148
thủ_môn,147
bơi,144
đất,144
chờ_đợi,144
lao,140
bước_đi,139
vượt,138
theo,136
xuất_sắc,136
bãi,136
nằm,136
vươn,136
phải,134
quyết_liệt,134
sân_nhà,133
đông_đảo,132
ngựa,132
đôi,131
lưới,130
khác,129
chụp,128
ấn_tượng,127
ánh_sáng,125
cuộc_chiến,125
mỗi,125
nơi,122
lặn,121
lại,121
ba,119
khiến,118
nhiều,117
biên,116
không_thể,116
bức,116
công_viên,116
đã,114
sôi_động,114
cây,112
mặt_nước,111
trái,109
thấp,109
sẽ,107
nghệ_thuật,107
có,107
đón,106
sàn,106
kiếm,106
màn,105
đặt,105
cung,103
mãnh_liệt,102
cam,102
vườn,100
tập_luyện,100
hấp_dẫn,100
cảm_xúc,99
đông,99
họ,99
toả,98
