word,frequency
<startseq>,20937
<endseq>,20937
đang,16614
một,7942
tennis,7629
người,7504
trên,7479
bóng,7268
sân,6139
vận_động_viên,4594
cầu_thủ,4420
bóng_chày,4276
ở,3766
đàn_ông,3758
vợt,3715
cầm,2966
để,2852
đánh_bóng,2717
chơi,2608
trong,2473
và,2214
những,2146
chuẩn_bị,2125
quả,2012
của,1939
thi_đấu,1910
áo,1812
nam,1753
phụ_nữ,1709
đứng,1708
ném,1643
gậy,1593
hai,1540
với,1518
lên,1437
bé,1385
nữ,1357
vung,1339
các,1333
trẻ,1325
đánh_quả,1301
bóng_đá,1234
cú,1195
đứa,1134
cậu,1037
đỡ,916
ra,900
trước,874
trận,858
cô,830
đầy,804
đánh,800
cho,774
trắng,760
cao,758
sự,758
phía,754
nhảy,704
hình_ảnh,695
về,680
khi,624
tay,616
xanh,604
thể_hiện,598
khán_giả,593
theo_dõi,556
bắt,551
diễn,550
vào,547
này,542
sân_cỏ,514
cùng,509
ngoài,506
xoay,497
luyện_tập,495
trận_đấu,487
mạnh_mẽ,482
đội,480
con,474
tạo,471
nhau,452
ánh,446
giữa,444
dùng,436
quyết_tâm,427
bước,426
giơ,419
từng,409
cái,407
thực_hiện,404
không_khí,404
chạy,398
cạnh,397
trả,392
sức_mạnh,382
dưới,373
động_tác,372
kịch_tính,371
nước,371
khoảnh_khắc,366
quan_sát,363
phát_bóng,360
đưa,345
đá,345
tới,341
đỏ,331
sẵn_sàng,329
ấy,325
gái,321
găng_tay,319
nên,315
qua,312
chân,306
đen,303
căng_thẳng,299
sau,298
nhìn,283
đẹp,280
mặc,275
cuộc,275
đua,274
từ,270
mọi,259
không,259
mình,254
môn,250
hồi_hộp,243
đường,243
thể_thao,243
nhóm,243
tuyệt_vời,242
chiếc,240
chèo,239
quyết_định,238
nắng,237
bằng,237
đối_thủ,234
tranh,230
anh,228
bay,227
ngồi,222
thuyền,222
mắt,221
giao_bóng,220
tuyệt,218
biển,213
đấu,212
chó,209
trọng_tài,207
tranh_chấp,207
một_số,207
như,203
là,200
được,199
chiến_thắng,194
sáng,192
vừa,191
gôn,189
màu,184
tập_trung,183
tung,181
bóng_rổ,179
bên,179
nhà,174
chinh_phục,174
trời,172
rực_rỡ,172
hoàn_hảo,171
nghiêng,170
tư_thế,169
đeo,168
pha,168
kỹ_thuật,166
khung_cảnh,165
ngựa,160
phải,157
xuống,157
ngoài_trời,156
